"","serialno","triwales","gogledd","bes05","wtfactor","intdate","sintdate","sttim","inwshh","inwsmm","inwdd","inwmm","inwyr","sintlen","thank","wreadpap","whpaper1","whpaper2","whpaper3","nwspswrg","nwspbrit","nwspwrld","bbc1wale","bbc1othr","bbc2","htvwales","itvother","channel4","s4c","channel5","skynews","othchanl","tvnever","tvrgnews","ptythnk","ptycls","idstrng","partyid","politic2","voted","votecod1","votecod2","votecod3","votecod4","votecod5","nvvotec","nvvotel","whendecd","votec","yvtclsc","ptyprefc","voters2c","votel","yvtclsl","ptyprefl","scwbrit","vote1st","vote2nd","mostimpo","mostimp1","mostimp2","mostimp3","mostimp4","mostimp5","voteukge","dfwnscw","dfwnge","coalitin","coalitw","votesyst","votesylc","confeel","labfeel","ldfeel","pcfeel","natcapab","evblair","evids","evkenned","evmorgan","evwjones","evgerman","evbourne","cnlbdfw","natlabdf","coalpc","snhsiesw","snhswhsw","edstiesw","edstwhsw","sliviesw","slivwhsw","taxspend","bpriorf1","bpriorf2","brworld","levelgen","levelub","levelfee","levelpsc","iraq1","iraq2","asylum","buspass","foundhos","ecpolicy","abolspw","govtrust","soctrust","govtwork","walework","losetch","voteintr","lostcham","cooppaas","coophoc","impgweas","ukintnat","natinnat","regbias","whbias","closeloc","closeesw","closebr","closeeur","srsoccl1","srsoccl2","srsoccl","natclass","natid","gbpride","natpride","ident1b","ident2b","ident3b","flaguj","flagnat","passport","waleparl","walepar2","votessw2","walshind","indepent","doesinfl","oughinfl","infl10yr","leaveuk2","voiceuk3","sayingv3","imprved3","wnanhs","wnaecon2","contgovb","contnhs","evcnam1","evcnam2","evcnmp","evcncoun","wllivlan","welshdif","rwelshsp","rsex","rage","ragecat","ragecat2","rsexage","rsexage2","natbrit","nateng","nateuro","natirish","natni","natscot","natulst","natwelsh","natoth","natnone","bnationu","bestnatu","religion","religsum","famrelig","rlfamsum","chattend","marstat2","marstat","married","rspborn","rlivels2","livwasc2","parborn","livearea","tenure","tenure2","reconact","seconact","r2soc200","r2es2000","r2nssec","r2sic92","r2lastjb","r2emplye","r2superv","r2ocsec2","r2empwrk","r2jbhrsi","r2empst2","r2sicgp","r2ngh","r2nghgrp","p2soc200","p2es2000","p2nssec","p2sic92","p2lastjb","p2emplye","p2superv","p2ocsec2","p2empwrk","p2jbhrsi","p2empst2","p2sicgp","p2ngh","p2nghgrp","unionsa2","maininc2","hhincome","othchld4","schqual","pschqual","edqual1","edqual2","edqual3","edqual4","edqual26","edqual27","edqual28","edqual29","edqual30","edqual31","edqual32","edqual22","edqual23","edqual24","edqual25","edqual10","edqual11","edqual17","edqual18","edqual19","edqual20","edqual21","edqual12","edqual13","edqual14","edqual15","edqual16","hedqual","internet","wwwuse","vote01","votsw99c","votsw99l","refvotew","phone","phonebck","stable","endtim","inwehh","inwemm","selfcomp","duration","sintlen2","int_num","tnc","duno","dusel","persno","perssel","intlang","rborn3","tenure5","reconsum","seconsum","r2opcat","p2opcat","r2class","p2class","r2clasgp","p2clasgp","r2econps","p2econps","r2nseg","p2nseg","r2nseggp","p2nseggp","r2nsoccl","p2nsoccl","r2jbhrci","p2jbhrci","r2partfi","p2partfi","psu_id","ua_id","ua_name","constit","region","clwydw","northw","wardid","wardname","welshspk","popdens","endfile","cardno20","intvr20","batch20","language","fairshar","richlaw","tuntneed","privent","publcown","govresp1","nlbintwc","nlbinten","nlbintsw","nlbintwl","swlintwc","swlinten","swlintsw","swlintwl","natintwc","natinten","natintsw","natintwl","conintwc","coninten","conintsw","conintwl","ldwintwc","ldwinten","ldwintsw","ldwintwl","votduty2","proprep","proprnat","proprloc","swvotdf2","swsysdf2","swquiz1b","swquiz3b","quizscbu","quizrhod","swquiz4","swquiz5","swquiz6","swquiz7","swquiz8","swquiz9","quizldco","quizlist","quiz60am","swvote1","swvote2b","swvote3b","swvote4","electsy1","electsy2","swvots1b","swvots2b","swvotsy3","swvots4b","swvot5b","swvot6b","swvotsy7","swvotsy8","numbmps","govcoal1","govcoal2","minorp","foregone","qtime","qdate","scsexchk","scagechk","leftrigh","wmirror","filter_$","constpre","trids","walesbor"
"1",20101,0,1,1,2.2054,"16052003","16052003","15:04:52",NA,NA,NA,NA,NA,NA,NA,1,12,0,0,3,3,3,1,0,0,1,0,0,1,1,0,0,0,1,5,-1,1,5,4,1,-1,-1,-1,-1,-1,NA,NA,1,5,1,NA,2,5,1,NA,1,5,2,"confidence in the party",97,NA,NA,NA,NA,5,3,4,2,1,2,2,4,4,4,1,3,0,0,0,0,10,98,98,3,1,2,5,4,5,4,5,4,8,2,3,4,2,1,1,1,1,4,1,1,2,3,2,4,2,3,4,2,2,2,3,2,3,3,1,2,1,3,1,2,4,4,2,2,2,1,5,1,1,14,19,3,1,8,3,1,1,3,4,1,1,1,3,1,2,3,3,3,1,2,2,NA,1,1,1,1,3,2,39,3,3,11,10,1,2,2,2,2,2,2,1,2,2,8,8,3,1,5,3,5,6,5,4,4,1,-1,1,39,1,1,10,-1,8139,7,13.2,36,4,1,2,1,3,40,9,4,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,5,5,5,8,1,1,1,"15:37:24",NA,NA,61,33,33,"0608",2,1,-1,4,3,NA,1,1,5,NA,13,NA,7,NA,5,NA,8,NA,13,NA,5,NA,5,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANL","Porthyfelin ED",52.31,6.8,"X",20,NA,2001,1,1,1,4,4,2,1,9,9,9,1,9,9,9,1,9,9,9,1,9,9,9,3,9,9,9,3,2,1,1,4,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,1,9,9,9,1,1,9,1,9,9,9,1,9,9,1,1,9,9,9,3,1605,2,39,2.16666666666667,0,0,3,1,1
"2",20103,0,1,1,0.5513,"29052003","29052003","12:15:33",NA,NA,NA,NA,NA,NA,NA,1,6,0,0,3,3,3,1,0,0,1,0,0,1,0,0,0,0,2,0,0,-1,0,NA,2,3,96,96,96,96,5,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,5,3,3,1,1,2,2,4,2,3,3,2,10,98,98,98,9,98,98,3,3,1,3,4,3,4,2,2,2,3,2,3,1,1,1,1,2,3,2,2,8,2,3,3,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,3,4,2,2,2,1,2,1,19,4,17,3,1,8,3,4,1,3,4,2,1,1,3,3,1,1,3,3,1,1,2,NA,2,2,1,3,1,2,74,7,6,15,13,2,2,2,2,2,2,2,1,2,2,-1,8,3,1,3,1,6,5,4,3,4,1,-1,1,22,1,1,9,-1,9225,7,13.1,55,5,1,2,1,1,40,9,8,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,5,5,5,1,1,1,2,"12:34:22",NA,NA,51,19,19,"0608",4,1,-1,1,-1,NA,1,1,4,NA,13,NA,7,NA,5,NA,9,NA,10,NA,5,NA,5,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANL","Porthyfelin ED",52.31,6.8,"X",20,NA,5011,1,4,2,5,4,2,2,3,3,2,3,2,3,2,1,3,4,1,1,3,1,3,3,2,2,3,3,2,2,2,2,4,8,3,2,1,8,1,4,1,8,2,8,8,4,8,2,2,8,3,2,2,4,2,4,2,2,2,2,2,2,4,2,3,2,2,1907,2,26,1.83333333333333,0,1,3,1,1
"3",20105,0,1,1,0.5513,"02062003","02062003","11:40:54",NA,NA,NA,NA,NA,NA,NA,1,6,0,0,2,3,3,1,0,0,1,0,0,0,0,1,0,0,2,2,-1,3,2,4,2,2,96,96,96,96,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,3,3,1,1,2,2,4,2,3,3,2,9,6,6,7,9,98,98,2,3,1,4,2,8,9,4,2,3,3,4,3,1,1,1,1,2,4,1,2,8,3,3,3,2,3,2,1,1,1,3,3,2,3,3,2,1,1,1,2,4,2,NA,2,1,2,2,1,1,4,22,3,1,8,3,4,1,2,3,2,1,2,3,1,3,3,3,3,3,3,2,NA,2,1,1,4,1,1,28,2,2,2,2,2,2,2,2,2,2,2,1,2,2,-1,8,0,5,0,5,-1,4,3,2,4,3,25,2,3,5,4,3,-1,5434,6,10,55,NA,1,1,1,2,45,8,8,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,2,1,1,0,2,3,0,0,0,0,0,0,0,0,22,23,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,2,1,2,2,2,0,2,NA,3,"12:21:59",NA,NA,51,41,41,"0608",4,1,-1,1,-1,NA,1,6,2,NA,10,NA,5,NA,4,NA,1,NA,10,NA,5,NA,4,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANL","Porthyfelin ED",52.31,6.8,"X",20,NA,5105,1,4,2,4,4,2,2,3,2,4,4,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,1,2,2,2,8,2,1,1,3,9,1,1,2,2,2,2,8,4,8,2,3,3,3,1,2,8,8,8,8,8,8,2,2,1,2,2,8,2,3,707,2,53,2,0,0,3,1,1
"4",20107,0,1,1,1.1027,"19072003","19072003","11:02:46",NA,NA,NA,NA,NA,NA,NA,2,-1,-1,-1,-1,-1,-1,1,0,0,1,0,1,1,1,0,0,0,1,2,-1,3,2,4,1,-1,-1,-1,-1,-1,NA,NA,1,2,1,NA,2,2,1,NA,1,2,3,"What they could do for us locally.",16,NA,NA,NA,NA,2,2,2,2,2,2,1,4,2,3,5,1,7,5,5,5,2,4,98,2,1,1,5,1,2,1,2,1,3,1,4,2,2,2,1,1,4,4,4,4,2,2,3,3,2,3,3,2,2,4,3,3,3,3,3,2,2,1,2,3,4,4,2,2,4,2,5,1,14,4,8,3,1,8,3,4,1,2,2,2,1,1,1,3,1,1,2,3,1,2,2,NA,2,1,2,2,2,2,26,2,2,10,9,2,2,2,2,2,2,2,1,2,2,-1,8,0,5,3,1,7,1,1,1,4,1,-1,1,26,9,4,3,3,4212,7,7.1,74,NA,1,2,1,1,21,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,11,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,2,1,2,2,2,1,1,2,2,"11:47:10",NA,NA,61,45,45,"0594",7,1,-1,2,1,NA,1,10,2,2,7,NA,3,NA,2,NA,2,5,9,NA,3,NA,3,NA,2,NA,2,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANL","Porthyfelin ED",52.31,6.8,"X",20,NA,5012,1,4,3,5,3,2,3,2,2,2,2,2,2,2,2,2,3,2,1,3,2,3,3,2,2,2,2,2,3,3,3,8,8,2,2,2,8,2,3,3,8,2,8,8,3,8,3,4,3,2,2,2,3,8,4,3,3,3,2,2,1,4,3,3,3,2,1807,1,22,2.33333333333333,0,1,3,1,1
"5",20108,0,1,1,1.1027,"14052003","14052003","13:12:08",NA,NA,NA,NA,NA,NA,NA,1,2,0,0,3,3,3,1,1,1,1,0,0,1,0,0,0,0,1,2,-1,1,2,1,1,-1,-1,-1,-1,-1,NA,NA,1,2,2,NA,2,2,2,NA,2,2,3,"hospitals - nhs",3,NA,NA,NA,NA,2,1,1,1,1,1,2,3,1,3,5,1,9,4,3,9,4,5,98,1,3,1,1,1,5,1,1,3,2,1,2,2,2,2,1,1,4,1,2,2,4,8,1,3,2,3,3,1,1,4,1,2,3,3,3,2,2,1,1,2,8,2,NA,2,2,2,1,1,3,8,10,1,1,1,4,5,2,2,4,3,1,2,2,1,3,1,1,3,2,3,2,NA,2,2,3,4,2,2,72,7,6,15,13,2,2,2,2,2,2,2,1,2,2,-1,8,8,3,8,3,1,1,1,1,4,1,-1,1,72,3,2,10,10,9233,7,13.4,85,4,1,2,3,1,5,9,14,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,2,2,98,8,1,1,2,"14:01:21",NA,NA,51,49,49,"0608",1,1,-1,2,1,NA,1,3,5,5,13,NA,7,NA,5,NA,8,8,14,NA,6,NA,6,NA,0,NA,0,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANL","Porthyfelin ED",52.31,6.8,"X",20,NA,5070,1,5,2,5,1,4,2,3,3,2,3,3,3,2,3,3,4,1,1,4,2,3,4,4,3,3,3,3,2,2,3,4,4,1,1,2,1,3,2,2,2,1,1,1,4,1,1,2,4,1,1,1,3,4,5,2,2,2,5,1,1,1,2,2,2,1,1507,1,69,2.5,1,1,2,1,1
"6",20110,0,1,1,1.1027,"07072003","07072003","12:04:07",NA,NA,NA,NA,NA,NA,NA,1,1,0,0,2,3,3,1,0,1,1,0,0,1,0,0,0,0,1,0,0,-1,0,NA,2,6,96,96,96,96,98,98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,4,3,2,2,2,1,2,3,3,3,1,5,6,3,3,3,4,4,1,1,1,4,2,3,2,4,2,3,1,2,4,1,1,2,2,2,2,2,1,2,1,1,4,1,3,3,2,2,1,3,3,3,3,3,2,2,1,1,2,4,4,2,2,3,3,2,1,8,10,17,3,2,1,5,4,1,2,2,1,1,1,1,3,3,3,3,2,1,1,2,NA,2,2,2,4,2,2,53,4,4,12,11,1,2,2,2,2,2,2,1,2,2,1,1,0,5,6,3,5,1,1,1,4,1,-1,2,48,1,1,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8133,7,11.2,60,NA,1,2,1,1,25,9,9,10,5,3,1,5,2,1,1,1,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,NA,0,1,1,2,"12:40:56",NA,NA,61,36,36,"0594",3,1,-1,2,1,NA,1,1,5,2,NA,11,NA,5,NA,4,8,2,NA,13,NA,5,NA,5,NA,3,NA,2,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANJ","Parc A r Mynydd ED",52.31,6.8,"X",20,NA,5071,1,4,2,4,3,3,3,2,3,2,3,2,3,2,2,2,2,2,1,2,2,2,3,2,2,2,3,2,3,3,2,2,1,8,3,2,1,1,1,2,8,2,2,4,4,8,4,8,4,8,2,1,8,8,5,8,8,8,2,2,1,2,3,3,5,3,1707,2,18,2.5,0,0,1,2,1
"7",20111,0,1,1,1.654,"16072003","16072003","17:37:56",NA,NA,NA,NA,NA,NA,NA,1,3,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,2,2,-1,3,2,4,2,5,2,96,96,96,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,2,3,3,1,2,2,2,5,1,3,3,1,7,2,5,6,6,98,98,8,8,2,5,3,8,9,2,1,3,2,3,2,1,1,1,1,4,2,2,2,3,3,3,2,2,2,3,3,2,2,3,2,3,2,3,2,2,2,3,3,3,2,NA,2,3,3,1,1,19,2,21,3,2,8,5,4,8,2,3,1,2,2,1,3,3,3,3,3,8,1,2,NA,2,2,2,4,3,1,22,1,1,1,1,1,2,2,2,2,2,2,1,2,2,8,8,0,5,3,1,7,6,5,4,4,1,-1,1,22,1,1,3,-1,9139,7,13.4,36,NA,1,2,1,3,40,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,97,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,4,1,1,2,0,NA,0,1,1,2,"18:12:30",NA,NA,61,35,35,"0594",8,1,-1,3,3,NA,1,1,2,NA,13,NA,7,NA,5,NA,1,NA,14,NA,6,NA,6,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NAMQ","Holyhead Town ED",52.31,6.8,"X",20,NA,2002,1,2,1,2,2,2,2,4,4,4,3,2,2,2,2,3,3,3,3,3,3,3,3,9,9,9,9,1,4,2,3,2,2,2,1,1,1,1,1,1,2,2,2,8,3,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1305,1,60,2.83333333333333,1,1,1,2,1
"8",20112,0,1,1,0.5513,"15072003","15072003","14:37:44",NA,NA,NA,NA,NA,NA,NA,1,12,0,0,3,2,3,1,0,1,1,0,0,0,0,1,0,0,1,0,5,3,5,1,1,-1,-1,-1,-1,-1,NA,NA,1,5,6,NA,3,7,1,NA,1,5,2,"employment in Holyhead",97,NA,NA,NA,NA,2,1,2,2,1,2,2,3,2,4,3,2,4,7,2,6,5,1,4,1,3,1,3,2,4,2,3,1,3,2,3,4,2,1,1,2,1,1,1,4,4,2,1,4,1,2,3,1,1,1,3,2,5,2,3,2,2,1,1,2,2,1,NA,1,1,7,5,5,18,17,9,3,2,4,3,5,1,3,4,2,1,1,3,3,3,2,3,2,3,3,2,NA,1,2,1,2,2,1,69,7,6,7,6,2,2,2,1,2,2,2,2,2,2,-1,4,2,2,2,2,1,6,5,4,1,3,27,3,27,1,1,9,-1,4121,7,7.1,60,4,1,2,1,3,36,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,97,2,1,2,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,2,2,5,2,1,1,1,2,"15:41:12",NA,NA,61,64,64,"0594",6,1,-1,1,-1,NA,2,1,4,NA,7,NA,3,NA,2,NA,9,NA,7,NA,2,NA,2,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANE","Maeshyfryd ED",52.31,6.8,"X",20,NA,2003,1,4,1,4,4,4,2,3,1,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,2,4,3,2,2,2,2,2,3,2,3,2,3,8,4,8,2,3,3,2,1,1,4,2,2,3,2,4,2,2,8,2,3,3,3,3,1905,2,36,2.16666666666667,0,1,3,NA,0
"9",20113,0,1,1,1.1027,"02062003","02062003","10:00:28",NA,NA,NA,NA,NA,NA,NA,1,1,6,0,2,3,3,1,0,0,1,0,1,0,0,0,0,0,2,1,-1,2,1,3,1,-1,-1,-1,-1,-1,NA,NA,1,97,-3,-3,-3,NA,NA,NA,2,NA,NA,"schooling standards",2,NA,NA,NA,NA,1,1,4,1,1,2,2,2,3,3,3,1,8,5,5,98,5,98,98,3,2,1,5,1,4,1,4,1,3,2,1,3,1,1,1,2,4,2,2,2,2,3,3,3,2,3,4,1,1,1,3,2,3,3,3,2,3,1,3,1,3,2,NA,2,1,4,2,5,1,14,21,3,3,1,4,3,1,2,4,2,2,2,2,3,3,3,3,3,1,1,2,NA,2,2,3,4,2,2,46,4,4,12,11,1,2,2,2,2,2,2,2,2,2,-1,1,0,5,0,5,-1,1,1,1,3,4,1,1,1,2,1,3,3,1234,2,8.1,52,NA,2,2,NA,1,50,2,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,97,1,1,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,2,1,1,1,0,1,1,2,"11:04:55",NA,NA,51,64,64,"0608",3,1,-1,2,2,NA,2,2,2,2,8,NA,4,NA,3,NA,3,5,3,NA,1,NA,2,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANJ","Parc A r Mynydd ED",52.31,6.8,"X",20,NA,2004,1,4,1,1,3,3,3,3,2,4,4,3,2,3,3,2,1,1,1,3,3,4,4,4,4,4,4,2,3,3,5,4,1,3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,2,2505,2,33,2.83333333333333,0,0,2,3,0
"10",20115,0,1,1,2.7567,"14052003","14052003","14:42:38",NA,NA,NA,NA,NA,NA,NA,1,3,12,0,2,3,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,NA,2,6,96,96,96,96,98,98,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,0,4,4,8,8,2,2,3,3,3,3,3,6,6,5,98,7,98,98,3,3,2,5,8,1,8,2,8,3,2,4,1,2,1,2,2,3,2,1,2,3,3,3,3,2,3,3,3,2,3,3,2,3,4,2,2,2,1,2,2,3,4,2,2,2,2,2,1,19,22,21,3,1,8,3,4,1,3,3,2,1,2,3,1,3,1,3,2,3,3,2,NA,2,2,1,3,3,2,21,1,1,9,8,1,2,2,2,2,2,2,1,2,2,8,8,2,2,2,2,3,6,5,4,4,1,-1,2,21,2,1,3,-1,9224,7,13.1,60,NA,1,2,1,3,38,9,9,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,14,2,1,2,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,0,0,NA,0,1,1,1,"15:15:58",NA,NA,51,33,33,"0608",1,1,-1,5,5,NA,1,2,2,NA,13,NA,7,NA,5,NA,1,NA,10,NA,5,NA,5,NA,4,NA,1,NA,1,"00NA","Sir Ynys Mon - Isle of Anglesey","Ynys Mon Co Const",1,0,1,"00NANL","Porthyfelin ED",52.31,6.8,"X",20,NA,2005,1,4,1,4,1,3,4,3,4,4,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,3,3,5,5,5,4,4,4,1,4,1,1,1,4,1,4,2,2,2,1,2,4,2,2,1,1,4,2,4,4,4,4,2,4,1,2,4,4,2,4,1905,1,69,2.83333333333333,1,1,3,1,1
